id,product_tmpl_id/id,attribute_id/id,value_ids/id
ptal_fp_chanh_tuoi_xi_muoi_da,zed_custom.pt_fp_chanh_tuoi_xi_muoi,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_tra_viet_quat_lac_sua_ngot,zed_custom.pt_fp_tra_viet_quat_lac_sua,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_tra_viet_quat_lac_sua_tra,zed_custom.pt_fp_tra_viet_quat_lac_sua,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_tra_viet_quat_lac_sua_da,zed_custom.pt_fp_tra_viet_quat_lac_sua,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_tra_dua_luoi_lac_sua_ngot,zed_custom.pt_fp_tra_dua_luoi_lac_sua,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_tra_dua_luoi_lac_sua_tra,zed_custom.pt_fp_tra_dua_luoi_lac_sua,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_tra_dua_luoi_lac_sua_da,zed_custom.pt_fp_tra_dua_luoi_lac_sua,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_tra_vai_ngot,zed_custom.pt_fp_tra_vai,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_tra_vai_tra,zed_custom.pt_fp_tra_vai,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_tra_vai_da,zed_custom.pt_fp_tra_vai,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_tra_mang_cau_ngot,zed_custom.pt_fp_tra_mang_cau,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_tra_mang_cau_tra,zed_custom.pt_fp_tra_mang_cau,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_tra_mang_cau_da,zed_custom.pt_fp_tra_mang_cau,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_tra_xoai_cam_my_ngot,zed_custom.pt_fp_tra_xoai_cam_my,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_tra_xoai_cam_my_tra,zed_custom.pt_fp_tra_xoai_cam_my,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_tra_xoai_cam_my_da,zed_custom.pt_fp_tra_xoai_cam_my,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_tra_thanh_xuan_ngot,zed_custom.pt_fp_tra_thanh_xuan,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
